ADJ,<adj>
ADP,<pr>
ADV,<adv>
AUX,<vaux>
Animacy=Anim,<aa>
Animacy=Inan,<nn>
Aspect=Imp,
Aspect=Perf,
CCONJ,<cnjcoo>
CONJ,<cnjadv>
Case=Acc,<acc>
Case=Dat,<dat>
Case=Gen,<gen>
Case=Ins,<ins>
Case=Loc,<loc>
Case=Nom,<nom>
Case=Par,<par>
Case=Voc,<voc>
DET,<det>
Definite=Def,<def>
Definite=Ind,<ind>
Degree=Cmp,<comp>
Degree=Pos,<pst>
Degree=Sup,<sup>
Gender=Fem,<f>
Gender=Masc,<m>
Gender=Neut,<nt>
INTJ,<ij>
Mood=Imp,<imp>
Mood=Ind,
NOUN,<n>
NUM,<num>
NumType=Card,
NumType=Mult,
NumType=Ord,<ord>
Number=Plur,<pl>
Number=Sing,<sg>
PART,
PRON,<prn>
PROPN,<np>
Person=1,<p1>
Person=2,<p2>
Person=3,<p3>
Person=0,<impers>
Polarity=Neg,
Poss=Yes,<pos>
PronType=Art,
PronType=Dem,<dem>
PronType=Int,<itg>
PronType=Prs,<pers>
PronType=Rel,<rel>
Reflex=Yes,<ref>
SCONJ,<cnjsub>
SYM,
Tense=Fut,<fti>
Tense=Past,<past>
Tense=Pres,<pres>
VERB,<vblex>
Variant=Short,
VerbForm=Conv,
VerbForm=Fin,
VerbForm=Ger,<ger>
VerbForm=Inf,<inf>
VerbForm=Part,<pp>
Voice=Act,<actv>
Voice=Mid,<midv>
Voice=Pass,<pass>
X,<x>
_,<>
cm,<cm>
guio,<guio>
sent,<sent>
PUNCT,<sent>
PART,<adv>
